#date+time,005-atp
"01-01-2011 0000",NA
"01-01-2011 0100",NA
"01-01-2011 0200",NA
"01-01-2011 0300",NA
"01-01-2011 0400",NA
"01-01-2011 0500",NA
"01-01-2011 0600",NA
"01-01-2011 0700",NA
"01-01-2011 0800",NA
"01-01-2011 0900",NA
"01-01-2011 1000",NA
"01-01-2011 1100",NA
"01-01-2011 1200",NA
"01-01-2011 1300",NA
"01-01-2011 1400",NA
"01-01-2011 1500",NA
"01-01-2011 1600",NA
"01-01-2011 1700",NA
"01-01-2011 1800",NA
"01-01-2011 1900",NA
"01-01-2011 2000",NA
"01-01-2011 2100",NA
"01-01-2011 2200",NA
"01-01-2011 2300",NA
"01-02-2011 0000",NA
"01-02-2011 0100",NA
"01-02-2011 0200",NA
"01-02-2011 0300",NA
"01-02-2011 0400",NA
"01-02-2011 0500",NA
"01-02-2011 0600",NA
"01-02-2011 0700",NA
"01-02-2011 0800",NA
"01-02-2011 0900",NA
"01-02-2011 1000",NA
"01-02-2011 1100",NA
"01-02-2011 1200",NA
"01-02-2011 1300",NA
"01-02-2011 1400",NA
"01-02-2011 1500",NA
"01-02-2011 1600",NA
"01-02-2011 1700",NA
"01-02-2011 1800",NA
"01-02-2011 1900",NA
"01-02-2011 2000",NA
"01-02-2011 2100",NA
"01-02-2011 2200",NA
"01-02-2011 2300",NA
"01-03-2011 0000",NA
"01-03-2011 0100",NA
"01-03-2011 0200",NA
"01-03-2011 0300",NA
"01-03-2011 0400",NA
"01-03-2011 0500",NA
"01-03-2011 0600",NA
"01-03-2011 0700",NA
"01-03-2011 0800",NA
"01-03-2011 0900",NA
"01-03-2011 1000",NA
"01-03-2011 1100",NA
"01-03-2011 1200",NA
"01-03-2011 1300",NA
"01-03-2011 1400",NA
"01-03-2011 1500",NA
"01-03-2011 1600",NA
"01-03-2011 1700",NA
"01-03-2011 1800",NA
"01-03-2011 1900",NA
"01-03-2011 2000",NA
"01-03-2011 2100",NA
"01-03-2011 2200",NA
"01-03-2011 2300",NA
"01-04-2011 0000",NA
"01-04-2011 0100",NA
"01-04-2011 0200",NA
"01-04-2011 0300",NA
"01-04-2011 0400",NA
"01-04-2011 0500",NA
"01-04-2011 0600",NA
"01-04-2011 0700",NA
"01-04-2011 0800",NA
"01-04-2011 0900",NA
"01-04-2011 1000",NA
"01-04-2011 1100",NA
"01-04-2011 1200",NA
"01-04-2011 1300",NA
"01-04-2011 1400",NA
"01-04-2011 1500",NA
"01-04-2011 1600",NA
"01-04-2011 1700",NA
"01-04-2011 1800",NA
"01-04-2011 1900",NA
"01-04-2011 2000",NA
"01-04-2011 2100",NA
"01-04-2011 2200",NA
"01-04-2011 2300",NA
"01-05-2011 0000",NA
"01-05-2011 0100",NA
"01-05-2011 0200",NA
"01-05-2011 0300",NA
"01-05-2011 0400",NA
"01-05-2011 0500",NA
"01-05-2011 0600",NA
"01-05-2011 0700",NA
"01-05-2011 0800",NA
"01-05-2011 0900",NA
"01-05-2011 1000",NA
"01-05-2011 1100",NA
"01-05-2011 1200",NA
"01-05-2011 1300",NA
"01-05-2011 1400",NA
"01-05-2011 1500",NA
"01-05-2011 1600",NA
"01-05-2011 1700",NA
"01-05-2011 1800",NA
"01-05-2011 1900",NA
"01-05-2011 2000",NA
"01-05-2011 2100",NA
"01-05-2011 2200",NA
"01-05-2011 2300",NA
"01-06-2011 0000",NA
"01-06-2011 0100",NA
"01-06-2011 0200",NA
"01-06-2011 0300",NA
"01-06-2011 0400",NA
"01-06-2011 0500",NA
"01-06-2011 0600",NA
"01-06-2011 0700",NA
"01-06-2011 0800",NA
"01-06-2011 0900",NA
"01-06-2011 1000",NA
"01-06-2011 1100",NA
"01-06-2011 1200",NA
"01-06-2011 1300",NA
"01-06-2011 1400",NA
"01-06-2011 1500",NA
"01-06-2011 1600",NA
"01-06-2011 1700",NA
"01-06-2011 1800",NA
"01-06-2011 1900",NA
"01-06-2011 2000",NA
