#date+time,013-atp
"01-01-2022 0000",24.2
"01-01-2022 0100",24.3
"01-01-2022 0200",24.3
"01-01-2022 0300",24.3
"01-01-2022 0400",24.5
"01-01-2022 0500",24.5
"01-01-2022 0600",24.4
"01-01-2022 0700",24.2
"01-01-2022 0800",24.3
"01-01-2022 0900",24.6
"01-01-2022 1000",24.4
"01-01-2022 1100",24.4
"01-01-2022 1200",24.4
"01-01-2022 1300",24.1
"01-01-2022 1400",23.9
"01-01-2022 1500",24.0
"01-01-2022 1600",24.5
"01-01-2022 1700",25.0
"01-01-2022 1800",25.9
"01-01-2022 1900",26.4
"01-01-2022 2000",28.7
"01-01-2022 2100",28.2
"01-01-2022 2200",26.7
"01-01-2022 2300",25.3
"01-02-2022 0000",24.7
"01-02-2022 0100",24.5
"01-02-2022 0200",24.1
"01-02-2022 0300",24.0
"01-02-2022 0400",24.1
"01-02-2022 0500",24.2
"01-02-2022 0600",24.0
"01-02-2022 0700",23.6
"01-02-2022 0800",23.4
"01-02-2022 0900",16.3
"01-02-2022 1000",12.1
"01-02-2022 1100",10.5
"01-02-2022 1200",11.3
"01-02-2022 1300",9.4
"01-02-2022 1400",7.6
"01-02-2022 1500",6.4
"01-02-2022 1600",6.7
"01-02-2022 1700",7.1
"01-02-2022 1800",8.5
"01-02-2022 1900",8.3
"01-02-2022 2000",9.2
"01-02-2022 2100",10.6
"01-02-2022 2200",10.8
"01-02-2022 2300",11.2
"01-03-2022 0000",11.0
"01-03-2022 0100",10.3
"01-03-2022 0200",10.1
"01-03-2022 0300",9.6
"01-03-2022 0400",9.3
"01-03-2022 0500",9.1
"01-03-2022 0600",9.0
"01-03-2022 0700",8.6
"01-03-2022 0800",8.4
"01-03-2022 0900",7.8
"01-03-2022 1000",7.3
"01-03-2022 1100",6.6
"01-03-2022 1200",6.3
"01-03-2022 1300",5.0
"01-03-2022 1400",4.2
"01-03-2022 1500",5.4
"01-03-2022 1600",7.2
"01-03-2022 1700",7.8
