dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
01-01-2019 0000,14.0,13.1
01-01-2019 0100,13.8,13.0
01-01-2019 0200,13.4,12.9
01-01-2019 0300,13.1,12.7
01-01-2019 0400,12.6,12.7
01-01-2019 0500,12.2,12.6
01-01-2019 0600,12.4,12.4
01-01-2019 0700,11.9,12.4
01-01-2019 0800,12.2,12.4
01-01-2019 0900,12.0,12.4
01-01-2019 1000,12.4,12.3
01-01-2019 1100,12.1,12.3
01-01-2019 1200,11.7,12.2
01-01-2019 1300,12.2,12.4
01-01-2019 1400,12.5,12.2
01-01-2019 1500,12.3,12.3
01-01-2019 1600,12.5,12.5
01-01-2019 1700,12.7,12.6
01-01-2019 1800,13.1,12.8
01-01-2019 1900,13.8,13.1
01-01-2019 2000,14.3,13.2
01-01-2019 2100,14.7,13.3
01-01-2019 2200,14.6,13.3
01-01-2019 2300,14.7,13.2
01-02-2019 0000,14.7,13.0
01-02-2019 0100,14.7,12.9
01-02-2019 0200,14.6,13.1
01-02-2019 0300,13.2,13.1
01-02-2019 0400,12.4,12.9
01-02-2019 0500,12.3,13.1
01-02-2019 0600,12.0,13.2
01-02-2019 0700,11.2,13.0
01-02-2019 0800,11.2,12.8
01-02-2019 0900,10.9,12.7
01-02-2019 1000,10.6,12.5
01-02-2019 1100,9.8,12.5
01-02-2019 1200,9.4,12.5
01-02-2019 1300,9.0,12.5
01-02-2019 1400,8.8,12.3
01-02-2019 1500,8.8,12.2
01-02-2019 1600,8.7,12.2
01-02-2019 1700,8.2,12.1
01-02-2019 1800,8.5,12.1
01-02-2019 1900,8.6,12.0
01-02-2019 2000,8.4,12.0
01-02-2019 2100,8.6,11.9
01-02-2019 2200,8.4,11.9
01-02-2019 2300,8.5,11.8
01-03-2019 0000,8.1,11.7
01-03-2019 0100,7.8,11.7
01-03-2019 0200,7.4,11.9
01-03-2019 0300,8.0,11.5
01-03-2019 0400,8.1,11.4
01-03-2019 0500,8.8,11.3
01-03-2019 0600,11.4,11.1
01-03-2019 0700,9.7,11.4
01-03-2019 0800,8.9,11.5
01-03-2019 0900,8.3,11.3
01-03-2019 1000,8.7,11.4
01-03-2019 1100,8.9,11.5
01-03-2019 1200,6.9,11.4
01-03-2019 1300,7.0,11.2
01-03-2019 1400,6.8,11.1
01-03-2019 1500,7.3,11.0
01-03-2019 1600,8.0,11.1
01-03-2019 1700,8.3,11.1
01-03-2019 1800,8.0,11.2
01-03-2019 1900,8.4,11.2
