#date+time,068-atp
"01-01-2009 0000",NA
"01-01-2009 0100",RM
"01-01-2009 0200",RM
"01-01-2009 0300",RM
"01-01-2009 0400",RM
"01-01-2009 0500",RM
"01-01-2009 0600",RM
"01-01-2009 0700",RM
"01-01-2009 0800",RM
"01-01-2009 0900",RM
"01-01-2009 1000",RM
"01-01-2009 1100",RM
"01-01-2009 1200",RM
"01-01-2009 1300",RM
"01-01-2009 1400",RM
"01-01-2009 1500",RM
"01-01-2009 1600",RM
"01-01-2009 1700",RM
"01-01-2009 1800",RM
"01-01-2009 1900",RM
"01-01-2009 2000",RM
"01-01-2009 2100",RM
"01-01-2009 2200",RM
"01-01-2009 2300",RM
"01-02-2009 0000",RM
"01-02-2009 0100",RM
"01-02-2009 0200",RM
"01-02-2009 0300",RM
"01-02-2009 0400",RM
"01-02-2009 0500",RM
"01-02-2009 0600",RM
"01-02-2009 0700",RM
"01-02-2009 0800",RM
"01-02-2009 0900",RM
"01-02-2009 1000",RM
"01-02-2009 1100",RM
"01-02-2009 1200",RM
"01-02-2009 1300",RM
"01-02-2009 1400",RM
"01-02-2009 1500",RM
"01-02-2009 1600",RM
"01-02-2009 1700",RM
"01-02-2009 1800",RM
"01-02-2009 1900",RM
"01-02-2009 2000",RM
"01-02-2009 2100",RM
"01-02-2009 2200",RM
"01-02-2009 2300",RM
"01-03-2009 0000",RM
"01-03-2009 0100",RM
"01-03-2009 0200",RM
"01-03-2009 0300",RM
"01-03-2009 0400",RM
"01-03-2009 0500",RM
"01-03-2009 0600",RM
"01-03-2009 0700",RM
"01-03-2009 0800",RM
"01-03-2009 0900",RM
"01-03-2009 1000",RM
"01-03-2009 1100",RM
"01-03-2009 1200",RM
"01-03-2009 1300",RM
"01-03-2009 1400",RM
"01-03-2009 1500",RM
"01-03-2009 1600",RM
"01-03-2009 1700",RM
"01-03-2009 1800",RM
"01-03-2009 1900",RM
"01-03-2009 2000",RM
"01-03-2009 2100",RM
"01-03-2009 2200",RM
"01-03-2009 2300",RM
"01-04-2009 0000",RM
"01-04-2009 0100",NA
"01-04-2009 0200",RM
"01-04-2009 0300",RM
"01-04-2009 0400",RM
"01-04-2009 0500",RM
"01-04-2009 0600",RM
"01-04-2009 0700",RM
"01-04-2009 0800",RM
"01-04-2009 0900",RM
"01-04-2009 1000",RM
"01-04-2009 1100",RM
"01-04-2009 1200",RM
"01-04-2009 1300",RM
"01-04-2009 1400",RM
"01-04-2009 1500",RM
"01-04-2009 1600",RM
"01-04-2009 1700",RM
"01-04-2009 1800",RM
"01-04-2009 1900",RM
"01-04-2009 2000",RM
"01-04-2009 2100",RM
"01-04-2009 2200",RM
"01-04-2009 2300",RM
"01-05-2009 0000",RM
"01-05-2009 0100",RM
"01-05-2009 0200",RM
"01-05-2009 0300",RM
"01-05-2009 0400",RM
"01-05-2009 0500",RM
"01-05-2009 0600",RM
"01-05-2009 0700",RM
"01-05-2009 0800",RM
"01-05-2009 0900",RM
"01-05-2009 1000",RM
"01-05-2009 1100",RM
"01-05-2009 1200",RM
"01-05-2009 1300",RM
"01-05-2009 1400",RM
"01-05-2009 1500",RM
"01-05-2009 1600",RM
"01-05-2009 1700",RM
"01-05-2009 1800",RM
"01-05-2009 1900",RM
"01-05-2009 2000",RM
"01-05-2009 2100",RM
"01-05-2009 2200",RM
"01-05-2009 2300",RM
"01-06-2009 0000",RM
"01-06-2009 0100",RM
"01-06-2009 0200",RM
"01-06-2009 0300",RM
"01-06-2009 0400",RM
"01-06-2009 0500",RM
"01-06-2009 0600",RM
"01-06-2009 0700",RM
"01-06-2009 0800",RM
"01-06-2009 0900",RM
"01-06-2009 1000",RM
"01-06-2009 1100",RM
"01-06-2009 1200",RM
"01-06-2009 1300",RM
"01-06-2009 1400",RM
"01-06-2009 1500",RM
"01-06-2009 1600",RM
"01-06-2009 1700",RM
"01-06-2009 1800",RM
"01-06-2009 1900",RM
"01-06-2009 2000",RM
"01-06-2009 2100",RM
"01-06-2009 2200",RM
"01-06-2009 2300",RM
"01-07-2009 0000",RM
"01-07-2009 0100",RM
"01-07-2009 0200",RM
"01-07-2009 0300",RM
"01-07-2009 0400",RM
"01-07-2009 0500",RM
"01-07-2009 0600",RM
"01-07-2009 0700",RM
"01-07-2009 0800",RM
"01-07-2009 0900",RM
"01-07-2009 1000",RM
"01-07-2009 1100",RM
"01-07-2009 1200",RM
"01-07-2009 1300",RM
"01-07-2009 1400",RM
"01-07-2009 1500",RM
"01-07-2009 1600",RM
"01-07-2009 1700",RM
"01-07-2009 1800",RM
"01-07-2009 1900",RM
"01-07-2009 2000",RM
"01-07-2009 2100",RM
"01-07-2009 2200",RM
"01-07-2009 2300",RM
"01-08-2009 0000",RM
"01-08-2009 0100",RM
"01-08-2009 0200",RM
"01-08-2009 0300",RM
"01-08-2009 0400",RM
"01-08-2009 0500",RM
"01-08-2009 0600",RM
"01-08-2009 0700",RM
"01-08-2009 0800",RM
"01-08-2009 0900",RM
"01-08-2009 1000",RM
"01-08-2009 1100",RM
"01-08-2009 1200",RM
"01-08-2009 1300",RM
"01-08-2009 1400",RM
"01-08-2009 1500",RM
"01-08-2009 1600",RM
"01-08-2009 1700",RM
"01-08-2009 1800",RM
"01-08-2009 1900",RM
"01-08-2009 2000",RM
"01-08-2009 2100",RM
"01-08-2009 2200",RM
"01-08-2009 2300",RM
"01-09-2009 0000",RM
"01-09-2009 0100",RM
"01-09-2009 0200",RM
"01-09-2009 0300",RM
"01-09-2009 0400",RM
"01-09-2009 0500",RM
"01-09-2009 0600",RM
"01-09-2009 0700",RM
"01-09-2009 0800",RM
"01-09-2009 0900",RM
"01-09-2009 1000",RM
"01-09-2009 1100",RM
"01-09-2009 1200",RM
"01-09-2009 1300",RM
"01-09-2009 1400",RM
"01-09-2009 1500",RM
"01-09-2009 1600",RM
"01-09-2009 1700",RM
"01-09-2009 1800",RM
"01-09-2009 1900",RM
"01-09-2009 2000",RM
"01-09-2009 2100",RM
"01-09-2009 2200",RM
"01-09-2009 2300",RM
"01-10-2009 0000",RM
"01-10-2009 0100",RM
"01-10-2009 0200",RM
"01-10-2009 0300",RM
"01-10-2009 0400",RM
"01-10-2009 0500",RM
"01-10-2009 0600",RM
"01-10-2009 0700",RM
"01-10-2009 0800",RM
"01-10-2009 0900",RM
"01-10-2009 1000",RM
"01-10-2009 1100",RM
"01-10-2009 1200",RM
"01-10-2009 1300",RM
"01-10-2009 1400",RM
"01-10-2009 1500",RM
"01-10-2009 1600",RM
"01-10-2009 1700",RM
"01-10-2009 1800",RM
"01-10-2009 1900",RM
"01-10-2009 2000",RM
"01-10-2009 2100",RM
"01-10-2009 2200",RM
"01-10-2009 2300",RM
"01-11-2009 0000",RM
"01-11-2009 0100",RM
"01-11-2009 0200",RM
"01-11-2009 0300",RM
"01-11-2009 0400",RM
"01-11-2009 0500",RM
"01-11-2009 0600",RM
"01-11-2009 0700",RM
"01-11-2009 0800",RM
"01-11-2009 0900",RM
"01-11-2009 1000",RM
"01-11-2009 1100",RM
"01-11-2009 1200",RM
"01-11-2009 1300",RM
"01-11-2009 1400",RM
"01-11-2009 1500",RM
"01-11-2009 1600",RM
"01-11-2009 1700",RM
"01-11-2009 1800",RM
"01-11-2009 1900",RM
"01-11-2009 2000",RM
"01-11-2009 2100",RM
"01-11-2009 2200",RM
"01-11-2009 2300",RM
"01-12-2009 0000",RM
"01-12-2009 0100",RM
"01-12-2009 0200",RM
"01-12-2009 0300",RM
"01-12-2009 0400",RM
"01-12-2009 0500",RM
"01-12-2009 0600",RM
"01-12-2009 0700",RM
"01-12-2009 0800",RM
"01-12-2009 0900",RM
"01-12-2009 1000",RM
