#date+time,005-atp
"01-01-2023 0000",18.1
"01-01-2023 0100",17.8
"01-01-2023 0200",17.8
"01-01-2023 0300",15.6
"01-01-2023 0400",15.7
"01-01-2023 0500",16.2
"01-01-2023 0600",17.2
"01-01-2023 0700",17.8
"01-01-2023 0800",17.7
"01-01-2023 0900",17.9
"01-01-2023 1000",18.3
"01-01-2023 1100",17.7
"01-01-2023 1200",17.6
"01-01-2023 1300",17.2
"01-01-2023 1400",17.3
"01-01-2023 1500",17.5
"01-01-2023 1600",18.2
"01-01-2023 1700",19.1
"01-01-2023 1800",19.8
"01-01-2023 1900",18.5
"01-01-2023 2000",21.0
"01-01-2023 2100",20.5
"01-01-2023 2200",19.4
"01-01-2023 2300",18.4
"01-02-2023 0000",19.0
"01-02-2023 0100",19.7
"01-02-2023 0200",20.3
"01-02-2023 0300",20.2
"01-02-2023 0400",20.1
"01-02-2023 0500",19.2
"01-02-2023 0600",19.6
"01-02-2023 0700",20.0
"01-02-2023 0800",20.1
"01-02-2023 0900",20.3
"01-02-2023 1000",19.9
"01-02-2023 1100",20.0
"01-02-2023 1200",19.8
"01-02-2023 1300",20.5
"01-02-2023 1400",20.5
"01-02-2023 1500",20.9
"01-02-2023 1600",20.9
"01-02-2023 1700",20.7
"01-02-2023 1800",22.5
"01-02-2023 1900",21.8
"01-02-2023 2000",21.7
"01-02-2023 2100",21.3
"01-02-2023 2200",21.5
"01-02-2023 2300",21.1
"01-03-2023 0000",20.4
"01-03-2023 0100",20.6
"01-03-2023 0200",21.2
"01-03-2023 0300",20.5
"01-03-2023 0400",20.0
"01-03-2023 0500",20.7
"01-03-2023 0600",20.4
"01-03-2023 0700",20.3
"01-03-2023 0800",19.7
"01-03-2023 0900",20.2
"01-03-2023 1000",20.2
"01-03-2023 1100",19.8
"01-03-2023 1200",20.3
"01-03-2023 1300",21.0
"01-03-2023 1400",20.2
"01-03-2023 1500",19.9
"01-03-2023 1600",20.9
"01-03-2023 1700",20.3
"01-03-2023 1800",21.2
"01-03-2023 1900",21.8
"01-03-2023 2000",22.7
"01-03-2023 2100",24.5
"01-03-2023 2200",23.1
"01-03-2023 2300",22.6
"01-04-2023 0000",20.6
"01-04-2023 0100",19.9
"01-04-2023 0200",18.9
"01-04-2023 0300",19.4
"01-04-2023 0400",18.7
"01-04-2023 0500",18.7
"01-04-2023 0600",18.6
"01-04-2023 0700",18.8
"01-04-2023 0800",18.1
"01-04-2023 0900",16.1
"01-04-2023 1000",16.6
"01-04-2023 1100",16.7
"01-04-2023 1200",16.5
"01-04-2023 1300",16.5
"01-04-2023 1400",16.5
"01-04-2023 1500",17.0
"01-04-2023 1600",18.5
"01-04-2023 1700",19.1
"01-04-2023 1800",21.1
"01-04-2023 1900",22.1
"01-04-2023 2000",21.6
"01-04-2023 2100",22.5
"01-04-2023 2200",21.8
"01-04-2023 2300",21.9
"01-05-2023 0000",19.7
"01-05-2023 0100",19.4
"01-05-2023 0200",19.0
"01-05-2023 0300",18.9
"01-05-2023 0400",17.9
"01-05-2023 0500",17.1
"01-05-2023 0600",17.5
"01-05-2023 0700",17.8
"01-05-2023 0800",17.0
"01-05-2023 0900",16.1
"01-05-2023 1000",15.3
"01-05-2023 1100",14.9
"01-05-2023 1200",15.0
"01-05-2023 1300",14.7
"01-05-2023 1400",15.4
"01-05-2023 1500",16.2
"01-05-2023 1600",16.4
"01-05-2023 1700",17.2
"01-05-2023 1800",18.2
"01-05-2023 1900",19.4
"01-05-2023 2000",19.4
"01-05-2023 2100",19.4
"01-05-2023 2200",19.2
"01-05-2023 2300",18.9
"01-06-2023 0000",18.2
"01-06-2023 0100",18.1
"01-06-2023 0200",17.8
"01-06-2023 0300",18.1
"01-06-2023 0400",18.3
"01-06-2023 0500",18.5
"01-06-2023 0600",19.3
"01-06-2023 0700",19.0
"01-06-2023 0800",18.9
"01-06-2023 0900",19.0
"01-06-2023 1000",18.7
"01-06-2023 1100",18.7
"01-06-2023 1200",18.9
"01-06-2023 1300",19.0
"01-06-2023 1400",19.2
"01-06-2023 1500",20.7
"01-06-2023 1600",22.1
"01-06-2023 1700",22.9
"01-06-2023 1800",22.9
"01-06-2023 1900",23.2
"01-06-2023 2000",22.9
"01-06-2023 2100",22.7
"01-06-2023 2200",22.2
"01-06-2023 2300",21.5
"01-07-2023 0000",20.5
"01-07-2023 0100",20.0
"01-07-2023 0200",20.0
"01-07-2023 0300",20.0
